"[基本集計]","...2","...3","...4","長期時系列表１　ｃ－３　主な産業別就業者　【第12～14回改定日本標準産業分類】 － 全国、月別結果...5","...6","...7","...8","...9","...10","...11","...12","...13","長期時系列表１　ｃ－３　主な産業別就業者　【第12～14回改定日本標準産業分類】 － 全国、月別結果...14","...15","...16","...17","...18","...19","...20","...21","...22"
"[Basic Tabulation]",NA,NA,NA,"Historical data 1  c-3    Employed person by major industry [12th, 13th and 14th revision industrial classification]  - Whole Japan, Monthly Data",NA,NA,NA,NA,NA,NA,NA,NA,"Historical data 1  c-3    Employed person by major industry [12th, 13th and 14th revision industrial classification]  - Whole Japan, Monthly Data",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"(万人)","(ten thousand persons)",NA,NA,NA,NA,NA,NA,NA,"(万人)","(ten thousand persons)",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"　原数値　　　Original series",NA,NA,NA,NA,NA,NA,NA,NA,"　原数値　　　Original series",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"年　　月
Year and month",NA,NA,NA,"総数","農業，林業","非農林業","建設業","製造業","情報通信業","運輸業，郵便業","卸売業，小売業","金融業，保険業","不動産業，物品賃貸業","学術研究，専門・技術サービス業","宿泊業，飲食サービス業","生活関連サービス業，娯楽業","教育，学習支援業","医療，福祉","複合サービス事業","サービス業（他に分類されないもの）","公務（他に分類されるものを除く）"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"平成14年","1月","Jan.",NA,"6267","224","6043","589","1210","153","331","1131","165","95","208","393","243","284","462","76","373","219"
"2002","2月","Feb.",NA,"6248","227","6021","611","1201","156","324","1075","164","96","208","395","246","273","471","76","374","218"
NA,"3月","Mar.",NA,"6297","242","6055","628","1238","156","323","1081","161","99","207","397","246","266","467","76","375","218"
"※注_Notes","4月","Apr.",NA,"6333","278","6055","624","1213","159","315","1121","167","95","200","394","235","267","473","73","383","212"
NA,"5月","May",NA,"6356","307","6049","607","1194","157","322","1134","171","96","203","391","233","270","476","72","375","217"
NA,"6月","June",NA,"6373","311","6062","594","1223","159","330","1115","170","108","202","390","242","280","469","77","368","211"
NA,"7月","July",NA,"6374","294","6080","622","1199","160","328","1116","180","110","189","405","234","279","480","75","363","220"
NA,"8月","Aug.",NA,"6371","288","6083","620","1207","164","326","1085","176","103","199","400","240","287","477","77","372","224"
NA,"9月","Sept.",NA,"6353","286","6067","621","1183","171","333","1081","174","100","213","396","252","283","482","78","368","209"
NA,"10月","Oct.",NA,"6355","271","6084","642","1176","160","333","1116","172","102","203","402","244","281","480","73","372","211"
NA,"11月","Nov.",NA,"6346","252","6094","632","1189","148","334","1130","163","101","211","399","242","275","477","70","380","227"
NA,"12月","Dec.",NA,"6291","231","6060","623","1188","152","328","1110","163","102","209","388","253","275","468","87","383","220"
"平成15年","1月","Jan.",NA,"6203","224","5979","616","1185","153","336","1067","155","104","204","373","241","278","468","80","378","220"
