"[基本集計]","...2","長期時系列表５　　(4)産業（第12・13回改定分類）別雇用者数 － 全国...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","長期時系列表５　　(4)産業（第12・13回改定分類）別雇用者数 － 全国...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","長期時系列表５　　(4)産業（第12・13回改定分類）別雇用者数 － 全国...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65"
"[Basic Tabulation]",NA,"Historical data 5 　(4) Employee by industry (12th and 13th revision industrial classification) - Whole Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Historical data 5 　(4) Employee by industry (12th and 13th revision industrial classification) - Whole Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Historical data 5 　(4) Employee by industry (12th and 13th revision industrial classification) - Whole Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"(万人)","(Ten thousand persons)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(万人)","(Ten thousand persons)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(万人)","(Ten thousand persons)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"男女計","Both sexes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"男","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"女","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"年次",NA,"総数","農業，林業","非農林業",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"総数","農業，林業","非農林業",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"総数","農業，林業","非農林業",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year",NA,"Total","Agriculture and forestry","Non-agricultural industries","漁業","鉱業，採石業，砂利採取業","建設業","製造業","電気・ガス・熱供給・水道業","情報通信業","運輸業，郵便業","卸売業，小売業","金融業，保険業","不動産業，物品賃貸業","学術研究，専門・技術サービス業","宿泊業，飲食サービス業","生活関連サービス業，娯楽業","教育，学習支援業","医療，福祉","複合サービス事業","サービス業（他に分類されないもの）","公務（他に分類されるものを除く）","Total","Agriculture and forestry","Non-agricultural industries","漁業","鉱業，採石業，砂利採取業","建設業","製造業","電気・ガス・熱供給・水道業","情報通信業","運輸業，郵便業","卸売業，小売業","金融業，保険業","不動産業，物品賃貸業","学術研究，専門・技術サービス業","宿泊業，飲食サービス業","生活関連サービス業，娯楽業","教育，学習支援業","医療，福祉","複合サービス事業","サービス業（他に分類されないもの）","公務（他に分類されるものを除く）","Total","Agriculture and forestry","Non-agricultural industries","漁業","鉱業，採石業，砂利採取業","建設業","製造業","電気・ガス・熱供給・水道業","情報通信業","運輸業，郵便業","卸売業，小売業","金融業，保険業","不動産業，物品賃貸業","学術研究，専門・技術サービス業","宿泊業，飲食サービス業","生活関連サービス業，娯楽業","教育，学習支援業","医療，福祉","複合サービス事業","サービス業（他に分類されないもの）","公務（他に分類されるものを除く）"
NA,NA,NA,NA,NA,"Fisheries","Mining and quarrying of stone and gravel","Construction","Manufacturing","Electricity, gas, heat supply and water","Information and communications","Transport and postal activities","Wholesale and retail trade","Finance and insurance","Real estate and goods rental and leasing","Scientific research, professional and technical services","Accommodations, eating and drinking services","Living-related and personal services and amusement services","Education, learning support","Medical, health care and welfare","Compound services","Services, N.E.C.","Government, except elsewhere classified",NA,NA,NA,"Fisheries","Mining and quarrying of stone and gravel","Construction","Manufacturing","Electricity, gas, heat supply and water","Information and communications","Transport and postal activities","Wholesale and retail trade","Finance and insurance","Real estate and goods rental and leasing","Scientific research, professional and technical services","Accommodations, eating and drinking services","Living-related and personal services and amusement services","Education, learning support","Medical, health care and welfare","Compound services","Services, N.E.C.","Government, except elsewhere classified",NA,NA,NA,"Fisheries","Mining and quarrying of stone and gravel","Construction","Manufacturing","Electricity, gas, heat supply and water","Information and communications","Transport and postal activities","Wholesale and retail trade","Finance and insurance","Real estate and goods rental and leasing","Scientific research, professional and technical services","Accommodations, eating and drinking services","Living-related and personal services and amusement services","Education, learning support","Medical, health care and welfare","Compound services","Services, N.E.C.","Government, except elsewhere classified"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"平成14年",2002,"5331","39","5292","9","5","504","1111","33","154","308","944","161","87","153","301","178","247","440","76","330","217","3170","22","3147","7","4","428","752","29","110","258","484","78","55","101","117","74","121","91","50","198","170","2161","16","2145","2","1","77","359","5","44","50","460","83","32","52","185","103","126","348","25","133","47"
"　　15",2003,"5335","39","5296","9","5","493","1091","32","158","315","939","154","86","151","298","174","246","469","78","335","227","3158","21","3137","7","4","418","740","27","116","263","478","76","54","101","114","73","123","96","52","196","179","2177","17","2160","2","1","75","351","5","43","52","461","78","32","50","184","102","124","373","26","140","47"
